name,gender,slug,quotes_vec,tweet,tweet_link,people_mentioned,date
Hillary Clinton,woman,hillary-clinton,Crooked,"#CrookedHillary = Obama's third term, which would be terrible news for our economic growth - seen below. https://t.co/y9WJoUaaql",https://twitter.com/realDonaldTrump/status/759507812963737600,1,2016-07-30T21:55:48+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP",https://twitter.com/realDonaldTrump/status/759509936002957314,1,2016-07-30T22:04:14+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Hillary and DEMS.,https://twitter.com/realDonaldTrump/status/759524001613918208,1,2016-07-30T23:00:07+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"The dishonest media is fawning over the Democratic Convention. I wonder why, then, my speech had millions of more viewers than Crooked H?",https://twitter.com/realDonaldTrump/status/759843323909668865,1,2016-07-31T20:09:00+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"#CrookedHillary 
 https://t.co/oHI6xrDJU0",https://twitter.com/realDonaldTrump/status/760125021280960512,1,2016-08-01T14:48:22+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Crooked Hillary Clinton is 100% owned by her donors. #ImWithYou #MAGA https://t.co/iYM3CCWS2z,https://twitter.com/realDonaldTrump/status/760229355784138752,1,2016-08-01T21:42:57+0000
Hillary Clinton,woman,hillary-clinton,100% owned by her donors,Crooked Hillary Clinton is 100% owned by her donors. #ImWithYou #MAGA https://t.co/iYM3CCWS2z,https://twitter.com/realDonaldTrump/status/760229355784138752,1,2016-08-01T21:42:57+0000
Hillary Clinton,woman,hillary-clinton,Crooked,The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow! https://t.co/FsrUGByuuD,https://twitter.com/realDonaldTrump/status/760420894271471620,1,2016-08-02T10:24:03+0000
Hillary Clinton,woman,hillary-clinton,A PATHOLOGICAL LIAR!,The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow! https://t.co/FsrUGByuuD,https://twitter.com/realDonaldTrump/status/760420894271471620,1,2016-08-02T10:24:03+0000
Hillary Clinton,woman,hillary-clinton,Crooked,#CrookedHillary https://t.co/xe0I0EmxMa,https://twitter.com/realDonaldTrump/status/760538951581130754,1,2016-08-02T18:13:10+0000
