"insult_slugs","quotes_vec","tweet","tweet_link","people_mentioned","date"
"elizabeth-warren","Goofy","Goofy Elizabeth Warren, sometimes referred to as Pocahontas, pretended to be a Native American in order to advance her career. Very racist!","https://twitter.com/realDonaldTrump/status/741774067368402945","1","2016-06-11T23:28:13+0000"
"elizabeth-warren","Very racist!","Goofy Elizabeth Warren, sometimes referred to as Pocahontas, pretended to be a Native American in order to advance her career. Very racist!","https://twitter.com/realDonaldTrump/status/741774067368402945","1","2016-06-11T23:28:13+0000"
"joe-scarborough","Not much power or insight!","Joe Scarborough initially endorsed Jeb Bush and Jeb crashed, then John Kasich and that didn't work. Not much power or insight!","https://twitter.com/realDonaldTrump/status/728646402985869312","1","2016-05-06T18:03:34+0000"
"joe-scarborough","has gone really hostile ever since I said I won't do or watch the show anymore","Wow, I hear @Morning_Joe has gone really hostile ever since I said I won't do or watch the show anymore.They misrepresent my positions!","https://twitter.com/realDonaldTrump/status/729621735717351424","1","2016-05-09T10:39:12+0000"
"political-ads-in-indiana","false and phony","So many false and phony T.V. commercials being broadcast in Indiana. Reminds me of Florida where thousands were put up-I won in a landslide!","https://twitter.com/realDonaldTrump/status/725677423195512833","1","2016-04-28T13:25:54+0000"
"cruz-kasich-pact","joke of a deal","The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!","https://twitter.com/realDonaldTrump/status/724911563405189121","1","2016-04-26T10:42:39+0000"
"cruz-kasich-pact","not being honored","The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!","https://twitter.com/realDonaldTrump/status/724911563405189121","1","2016-04-26T10:42:39+0000"
"cruz-kasich-pact","almost dead","The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!","https://twitter.com/realDonaldTrump/status/724911563405189121","1","2016-04-26T10:42:39+0000"
"cruz-kasich-pact","Very dumb!","The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!","https://twitter.com/realDonaldTrump/status/724911563405189121","1","2016-04-26T10:42:39+0000"
"cruz-kasich-pact","ridiculous","Wow, the ridiculous deal made between Lyin'Ted Cruz and 1 for 42 John Kasich has just blown up. What a dumb deal - dead on arrival!","https://twitter.com/realDonaldTrump/status/726008645473824768","1","2016-04-29T11:22:04+0000"
"cruz-kasich-pact","dumb","Wow, the ridiculous deal made between Lyin'Ted Cruz and 1 for 42 John Kasich has just blown up. What a dumb deal - dead on arrival!","https://twitter.com/realDonaldTrump/status/726008645473824768","1","2016-04-29T11:22:04+0000"
"cruz-kasich-pact","dead on arrival!","Wow, the ridiculous deal made between Lyin'Ted Cruz and 1 for 42 John Kasich has just blown up. What a dumb deal - dead on arrival!","https://twitter.com/realDonaldTrump/status/726008645473824768","1","2016-04-29T11:22:04+0000"
"delegate-system","I win a state in votes and then get non-representative delegates because they are offered all sorts of goodies by Cruz campaign. Bad system!","I win a state in votes and then get non-representative delegates because they are offered all sorts of goodies by Cruz campaign. Bad system!","https://twitter.com/realDonaldTrump/status/719159990834081794","1","2016-04-10T13:47:57+0000"
